UM Physics  235 Midterm 1 Winter 12 Problem 01,1,https://docs.google.com/document/d/1Zbhj96BsIuTDeDeQ87ypHrLWjgc8pqXL9MWr0iys7gQ/pub,3,5
UM Physics 235 Midterm 1 Fall 12 Problem 13,1,https://docs.google.com/document/d/1LhtirFNNQ3sQfg41qfbqCtQIrAf6TmPX-HG4q3VHAh4/pub,4,5
UM Physics 235 Midterm 1 Fall 12 Problem 14,1,https://docs.google.com/document/d/1oNqveLRH3lQjBwNr3sxKrL_QMKDV2Y8hDQseFrbW4D0/pub,3,5
UM Physics 235 Midterm 1 Fall 12 Problem 15,1,https://docs.google.com/document/d/154yRuBi624DyKMJH9vl635VKMmuTtc4lFitDCUKDGtU/pub,2,5
UM Physics 235 Midterm 1 Fall 12 Problem 16,1,https://docs.google.com/document/d/14dvSHDVWdjSMoshlS6CBZ7lA11CN-coOlEqojJBkbG8/pub,4,5
UM Physics 235 Midterm 1 Fall 12 Problem 17,1,https://docs.google.com/document/d/1IdUKfWQnNibLeF80NrMuvL9r4Zg9cCanVpxP31fRDGk/pub,5,5
UM Physics 235 Midterm 1 Fall 12 Problem 18,1,https://docs.google.com/document/d/16YCazEk--gSWz3qQHvr3vwMCQ9a6uc-GMoP0P6NTEro/pub,3,5
UM Physics 235 Midterm 1 Fall 12 Problem 19,1,https://docs.google.com/document/d/1gos0dCqA7ecTj-ODlSrB3YfckR6QuNuIXiYO4uJQ_Zo/pub,2,5
UM Physics 235 Midterm 1 Fall 12 Problem 20,1,https://docs.google.com/document/d/1jxwiHEGs4vwTE12c_hy2LYnTmMJO0UxCmXCr4he4czM/pub,5,5
UM Physics 235 Midterm 1 Winter 13 Problem 01,1,https://docs.google.com/document/d/1cvgz4Lu55eVV8N_HEk82cyDThjuELziSQDGP8EGjCjw/pub,2,5
UM Physics 235 Midterm 1 Winter 13 Problem 02,1,https://docs.google.com/document/d/1_GMlKqcZL7ObMqWZNGYjkh65xQaskqnN7IMIFq6zXdo/pub,3,5
UM Physics 235 Midterm 1 Winter 13 Problem 03,1,https://docs.google.com/document/d/1gFzAKYUWW5dTZYoXYemocDB2Tv8kKIWn3Zao81GV2Z4/pub,3,5
UM Physics 235 Midterm 1 Winter 13 Problem 04,1,https://docs.google.com/document/d/1flEgCnVrgyywF_YbPcDhA6tkh6A2aO_Hek8uEllJvl0/pub,3,5
UM Physics 235 Midterm 1 Winter 13 Problem 05,1,https://docs.google.com/document/d/1bxDuGv2uh8w6lI4R_JKB-12FZnc0UaLlXQkeK8ELwW8/pub,2,5
UM Physics 235 Midterm 1 Winter 13 Problem 06,1,https://docs.google.com/document/d/1VvPrExYREspIx8-hBiWeBI4xUX1QA_IC0wxTAUflorM/pub,3,5
UM Physics 235 Midterm 1 Winter 13 Problem 07,1,https://docs.google.com/document/d/1S7eOGvoGnf2huVOoVmVhpdIYXr9RhxfKsZTnvh54KUk/pub,4,5
UM Physics 235 Midterm 1 Winter 13 Problem 08,1,https://docs.google.com/document/d/1iM9R-pOxFzcj3s6nWhDk3hlTpzrZ-YBMDIM9Gj-2_kA/pub,4,5
UM Physics 235 Midterm 1 Winter 13 Problem 09,1,https://docs.google.com/document/d/1dBqZArXr1m1BqMuNJL5HDlMbiXS0KBJWXtI_LHhQ9Pg/pub,5,5
UM Physics 235 Midterm 1 Winter 13 Problem 10,1,https://docs.google.com/document/d/1qdauoHy8CGUnwXsnHDUomZQH5Vt6ALgFGD1Djl-GzoY/pub,2,5
UM Physics 235 Midterm 1 Winter 13 Problem 11,1,https://docs.google.com/document/d/1RQ_cWNAmmOlFfM4elwxgeyItcNcX-mZ-2MN2wKabZIs/pub,1,5
UM Physics 235 Midterm 1 Winter 13 Problem 12,1,https://docs.google.com/document/d/1TzAVkAjGG6J7t5aFlvTTwkrTdawkPLFxo5sQRQ-fa2A/pub,3,5
UM Physics 235 Midterm 1 Winter 13 Problem 13,1,https://docs.google.com/document/d/1sIv03aGvRedoiHtLPkdhfpYDCL9Ifad79MOtiqk33UI/pub,4,5
UM Physics 235 Midterm 1 Winter 13 Problem 14,1,https://docs.google.com/document/d/1uUb9DPmFSlpugSyq-O6i-5J-KavOmzudvcXJ9yTYIVA/pub,4,5
UM Physics 235 Midterm 1 Winter 13 Problem 15,1,https://docs.google.com/document/d/1-EXevZVm2kq-6H3t5DajY5NZNUI1O4K1qx1SS4Uw76A/pub,5,5
UM Physics 235 Midterm 1 Winter 13 Problem 16,1,https://docs.google.com/document/d/1j-uPwEB-3YPuDEaorZeUiY6cWUUwlHSrBS52KA0oQHo/pub,4,5
UM Physics 235 Midterm 1 Winter 13 Problem 17,1,https://docs.google.com/document/d/1TNQUoOdVor_dDXwisCmA4-M0Z5-Yc7TL1Gnp_wDvJDY/pub,3,5
UM Physics 235 Midterm 1 Winter 13 Problem 18,1,https://docs.google.com/document/d/1YcB3FmjMJk3NOsJTGDVfEbsF1drLhxMhDmB0qy61Rq8/pub,3,5
UM Physics 235 Midterm 1 Winter 13 Problem 19,1,https://docs.google.com/document/d/1D8t10djOaj1mPPoRQoNkVOc1_oj3yv6aQvru5PqVzkg/pub,1,5
UM Physics 235 Midterm 1 Winter 13 Problem 20,1,https://docs.google.com/document/d/1glV3vNoORRnWAzzlttO3gehIdkIj82XVZdW6ur0VxV0/pub,4,5
UM Physics 235 Midterm 2 Fall 12 Problem 01,2,https://docs.google.com/document/d/13Zs3Qgd9UtXiqYeOtrC0Azm9HyuUpr6wAO4F28SIJoQ/pub,3,5
UM Physics 235 Midterm 2 Fall 12 Problem 02,2,https://docs.google.com/document/d/1jRyH16PCHxH0bWGj5MwqjPsFj39XJ4pAt8c-gQ2591U/pub,1,5
UM Physics 235 Midterm 2 Fall 12 Problem 03,2,https://docs.google.com/document/d/1_O1bjQdKGts9ZNRdy7RF69JygdAvHJ3S2nnuH6IRIoQ/pub,5,5
UM Physics 235 Midterm 2 Fall 12 Problem 04,2,https://docs.google.com/document/d/11hCTSU09_-9i2MCN9j-BiyY68vMAILbBbccUKZACeKU/pub,1,5
UM Physics 235 Midterm 2 Fall 12 Problem 05,2,https://docs.google.com/document/d/1wLJdgH8i1kTNMCH2jthp6RLJIfKTwlTKSnm6QYa8kic/pub,5,5
UM Physics 235 Midterm 2 Fall 12 Problem 06,2,https://docs.google.com/document/d/1rFmrhPDSKN0QH3D5Drx5HF7kti2P3_dzxCflS4OHZX4/pub,1,5
UM Physics 235 Midterm 2 Fall 12 Problem 07,2,https://docs.google.com/document/d/1Mldcforg2BcV1ESldtEvQBAmZ0wlJbPW4T1fLnkUnVA/pub,4,5
UM Physics 235 Midterm 2 Fall 12 Problem 08,2,https://docs.google.com/document/d/1yHwEGDr9iARPugaeEKBUBw2ddnVG-4ss8WV7ZOIJaGQ/pub,4,5
UM Physics 235 Midterm 2 Fall 12 Problem 09,2,https://docs.google.com/document/d/1uJdwZ-q4LVx3vdpNlg9tMpKDn6IuTQNQY88kaEfSIx4/pub,3,5
UM Physics 235 Midterm 2 Fall 12 Problem 10,2,https://docs.google.com/document/d/14N4JnjUF1wDb9Z8BhbHhRY3FXDwJZ2rqdRTzTy57-BY/pub,4,5
UM Physics 235 Midterm 2 Fall 12 Problem 11,2,https://docs.google.com/document/d/1uEnYA7dEuLFx0YsX6HSAdkfGmtCfkzswAclUEP_YcUY/pub,4,5
UM Physics 235 Midterm 2 Fall 12 Problem 12,2,https://docs.google.com/document/d/11poP5N3bu97PqquH_4gLOTLGU_0RM9rTBGU3RNVlwvw/pub,2,5
UM Physics 235 Midterm 2 Fall 12 Problem 13,2,https://docs.google.com/document/d/1BIDtLrqX2ZxhrvVtpmrzMBCC2jkVsno3YERI4vxg4uM/pub,3,5
UM Physics 235 Midterm 2 Fall 12 Problem 14,2,https://docs.google.com/document/d/1sg_yv-5iVC5kk6MIQNdSeoubju7tfgpi93zonkK4f9A/pub,2,5
UM Physics 235 Midterm 2 Fall 12 Problem 15,2,https://docs.google.com/document/d/10JvTfRuQ8G8Rs4VmZuqcPVVT7x_Yz7JIqDuBP4fMlf0/pub,5,5
UM Physics 235 Midterm 2 Fall 12 Problem 16,2,https://docs.google.com/document/d/1TjljCkIQKQP97l5CL8xNx-B5bzgQY5O2pgJjQ8wRPHQ/pub,1,5
UM Physics 235 Midterm 2 Fall 12 Problem 17,2,https://docs.google.com/document/d/1mVdgUoG3yyaGyO0BR21vuvEZtWDyBKbPqZNU2GAbdH4/pub,3,5
UM Physics 235 Midterm 2 Fall 12 Problem 18,2,https://docs.google.com/document/d/11LT7KO0FOhtkOiJsgXOJrPyc4_iFnp-HxPU9Tj51Y-E/pub,2,5
UM Physics 235 Midterm 2 Fall 12 Problem 19,2,https://docs.google.com/document/d/15nrju23TT7w0tuUM6bYTE93c-dye-iHFpkp3MxC-i7g/pub,5,5
UM Physics 235 Midterm 2 Fall 12 Problem 20,2,https://docs.google.com/document/d/16eobtIwR5dvKulvHAzBDYRAFFKa2cn2FrCVH-oK90Gc/pub,4,5
UM Physics 235 Midterm 2 Winter 11 Problem 01,2,https://docs.google.com/document/d/1mc8eK6xILYy29jNqEfZoh9_Y8MKlk1_FVtc2juiDoGs/pub,3,5
UM Physics 235 Midterm 2 Winter 11 Problem 06,2,https://docs.google.com/document/d/19aI6G91y3EVxFmlEqTojQ70B0XKIB9MTOdnspj1srRQ/pub,4,5
UM Physics 235 Midterm 2 Winter 11 Problem 07,2,https://docs.google.com/document/d/1FYoTb4YOy-dneGo6LLx5wnxC6DfHBJzWEsnVxd0o4OE/pub,5,5
UM Physics 235 Midterm 2 Winter 11 Problem 08,2,https://docs.google.com/document/d/1AYhmcw2B5lB9ftrKPCJooB_cSOO3RcVCnp44hoGUg0U/pub,4,5
UM Physics 235 Midterm 2 Winter 11 Problem 09,2,https://docs.google.com/document/d/1rQSaS73LxBUF8CPxXsFUoTB51e2nVKbEfALFbB5s8Ro/pub,4,5
UM Physics 235 Midterm 2 Winter 11 Problem 10,2,https://docs.google.com/document/d/1_G-kbfZc-YYwZw5ADQvn-JEgr-TCQy_W9ODUX2QW9VA/pub,2,5
UM Physics 235 Midterm 2 Winter 11 Problem 11,2,https://docs.google.com/document/d/1iVgUIrQbOqbt2xS7gBFZSdfthabu66dTnMARJpXjfOI/pub,5,5
UM Physics 235 Midterm 2 Winter 11 Problem 12,2,https://docs.google.com/document/d/1-5zut8CwCSELeNhd9vh25kwl-aWSTKrteeiG9S3LI_k/pub,5,5
UM Physics 235 Midterm 2 Winter 12 Problem 01,2,https://docs.google.com/document/d/1LdQZVQ1cVINHkEkqxhNSqpU0eTeBZQLHAhuIAi7JMKc/pub,5,5
UM Physics 235 Midterm 2 Winter 12 Problem 02,2,https://docs.google.com/document/d/1V45dw4JiNQRvxyMWIYm0TQPhzAHkRmUz1n81ElDqfuU/pub,4,5
UM Physics 235 Midterm 2 Winter 12 Problem 03,2,https://docs.google.com/document/d/15-4zrH-cyT_EJthoV_Tj1bemPjD0DMu1K_tUiXiscr8/pub,5,5
UM Physics 235 Midterm 2 Winter 12 Problem 04,2,https://docs.google.com/document/d/1VNEJYsaZDFvK2poi4Rj8LfclGDjytT-FeN1K33kjgfs/pub,3,5
UM Physics 235 Midterm 2 Winter 12 Problem 05,2,https://docs.google.com/document/d/1XRAy0LlOWXdEMgFv54QMk5ZrL2mhob0qTMor5472tcw/pub,2,5
UM Physics 235 Midterm 2 Winter 12 Problem 06,2,https://docs.google.com/document/d/1WEi7tYdZ92ueaFNdOhMm7DCYBA69eLS_6xzJabui7gc/pub,2,5
UM Physics 235 Midterm 2 Winter 12 Problem 07,2,https://docs.google.com/document/d/1XMi9rjJ-riOmWZMp6XORQi-IfExzJbMyGca9NzXu8U0/pub,1,5
UM Physics 235 Midterm 2 Winter 12 Problem 08,2,https://docs.google.com/document/d/13uuGbkt5MRqIq473u_nERdgp1YpPxSM7ToAzs35EkYk/pub,5,5
UM Physics 235 Midterm 2 Winter 12 Problem 09,2,https://docs.google.com/document/d/1-NFBjTiTVAQv3Ae1LLlKTHDqKy_c5gXmHdkDsusbbNI/pub,2,5
UM Physics 235 Midterm 2 Winter 12 Problem 10,2,https://docs.google.com/document/d/1NYgUoQ4-knc-rziMo2JHsT9l2iQbX6sViwO38vOaAxk/pub,4,5
UM Physics 235 Midterm 2 Winter 12 Problem 11,2,https://docs.google.com/document/d/16mbJVNntLC8cSMwCqlxtY6mJKRGUu9K4GIycy7oL1Sk/pub,3,5
UM Physics 235 Midterm 2 Winter 12 Problem 12,2,https://docs.google.com/document/d/1GE_7CQKG4lRu6ujPCI177fb2qyGJ5IaUODMlj-Zxyz8/pub,2,5
UM Physics 235 Midterm 2 Winter 12 Problem 13,2,https://docs.google.com/document/d/1Eupi6vTmVHMbA3YUfV0dRTJJtEJwixFgg1xwFPmnJ_M/pub,3,5
UM Physics 235 Midterm 2 Winter 12 Problem 14,2,https://docs.google.com/document/d/1e_LEt6xkLxCxS41dUQpBm4IQSp9OxX863NKzQUD_kMs/pub,4,5
UM Physics 235 Midterm 2 Winter 12 Problem 15,2,https://docs.google.com/document/d/1Qi3qQwhrGNGmchGvca9vnKb-02inoCeF9hXRQaFaKbM/pub,5,5
UM Physics 235 Midterm 2 Winter 12 Problem 16,2,https://docs.google.com/document/d/14iqS6WUBTc2Bq_m4CHE6uhErLx_3ncR2SUQNLp1tMJE/pub,1,5
UM Physics 235 Midterm 2 Winter 12 Problem 17,2,https://docs.google.com/document/d/1wgHwxqGGTUvCcfc2GrhCJlbVBH4G9kySzx1pn9n3T5A/pub,3,5
UM Physics 235 Midterm 2 Winter 12 Problem 18,2,https://docs.google.com/document/d/1Bf08J557cefsYNbkMP_P6om173Vlp_G2tLmV6Ev1osY/pub,5,5
UM Physics 235 Midterm 2 Winter 12 Problem 19,2,https://docs.google.com/document/d/1MkNCjPj50077MjnwqsUkxxZiLJDV6FGqwq638YCGS7U/pub,1,5
UM Physics 235 Midterm 2 Winter 12 Problem 20,2,https://docs.google.com/document/d/1kDGJPpRo_I1vS0jQdsbou9eBQlwi2gB9mPlGaDMcxlY/pub,2,5
UM Physics 235 Midterm 2 Winter 13 Problem 01,2,https://docs.google.com/document/d/1TFRGeDOuAoEK-7AnGGYv_YQYrJOi3z8PuQsQ10n8V0I/pub,2,5
UM Physics 235 Midterm 2 Winter 13 Problem 02,2,https://docs.google.com/document/d/10X9OQdpYBw6ObKng3Pg9cJqJWzhL1Ab_zH7ctmS5iMs/pub,2,5
UM Physics 235 Midterm 2 Winter 13 Problem 03,2,https://docs.google.com/document/d/1J9Z85YP3ygEGtxqV5M1OGU9xlmtKCa2il1ALqyuE_iI/pub,2,5
UM Physics 235 Midterm 2 Winter 13 Problem 04,2,https://docs.google.com/document/d/1tDnuyN91cobvDv9JR0E3-2vhl_6jzk7tNPP7jRoR-vw/pub,4,5
UM Physics 235 Midterm 2 Winter 13 Problem 05,2,https://docs.google.com/document/d/1F56dw4AGjOQ_sdqlnnlbqvsAbG6U4LvyDXQz-6pmNVM/pub,4,5
UM Physics 235 Midterm 2 Winter 13 Problem 06,2,https://docs.google.com/document/d/1gkzP2aeZPgkmOl-ZGhbTYC67BKuE4d-KM_fnPftcX_4/pub,1,5
UM Physics 235 Midterm 2 Winter 13 Problem 07,2,https://docs.google.com/document/d/1gggLjhY-IfUIL-Y5t_gpAB8opyYke-KHPF0Ru0sscyg/pub,4,5
UM Physics 235 Midterm 2 Winter 13 Problem 08,2,https://docs.google.com/document/d/1NqKc6i2To505ELJrdiQOdwct_rizAiAMuIms7E3YmGg/pub,5,5
UM Physics 235 Midterm 2 Winter 13 Problem 09,2,https://docs.google.com/document/d/1xjTo4UzYRoMHnqJJJnKh07x1wRvZNB8GCJeb6kCRIng/pub,1,5
UM Physics 235 Midterm 2 Winter 13 Problem 10,2,https://docs.google.com/document/d/1ZZNwk5JnCrDUeYsQc3pDW4pCcFc-bIWHoALs1kBA2Zs/pub,2,5
UM Physics 235 Midterm 2 Winter 13 Problem 11,2,https://docs.google.com/document/d/1fxcMKy1w9iysBlUtryl5vP318kDG9zOdtfodnZu30uM/pub,3,5
UM Physics 235 Midterm 2 Winter 13 Problem 12,2,https://docs.google.com/document/d/1YWF3UhownDJpth09SlY2F2-sSX_kFM5cSUhzScLv5vc/pub,5,5
UM Physics 235 Midterm 2 Winter 13 Problem 13,2,https://docs.google.com/document/d/1PVINkRB2OrLv4hJP1qJI2iFQTbIcHVg-S51HVrZxdgA/pub,5,5
UM Physics 235 Midterm 2 Winter 13 Problem 14,2,https://docs.google.com/document/d/1ZZq96-9Yozv4DGvkEN7EH66fR9Xw5cK_OKNSDmQuEAk/pub,1,5
UM Physics 235 Midterm 2 Winter 13 Problem 15,2,https://docs.google.com/document/d/1Xg3_VnAzgFFHWYdJwI19vWvcO38zkPnBvG-VnYFnRqw/pub,3,5
UM Physics 235 Midterm 2 Winter 13 Problem 16,2,https://docs.google.com/document/d/1uPtoTVtessYQ2Jw9z8e_evnywimwCf8QRvoXju9x9Lo/pub,3,5
UM Physics 235 Midterm 2 Winter 13 Problem 17,2,https://docs.google.com/document/d/1ilDqlSuvIjp-zZfKmOflHIOHkiLDrWR5tP0A9Rw50Jo/pub,2,5
UM Physics 235 Midterm 2 Winter 13 Problem 18,2,https://docs.google.com/document/d/1tux8dSzJdKmMXyBJHCZkc_Y7YsSuRAmNCCRbT3oLl0Q/pub,5,5
UM Physics 235 Midterm 2 Winter 13 Problem 19,2,https://docs.google.com/document/d/1KbGJ0p0q81Rf9W3wPzfRIuwIesAAsUlRs-xK5Gh_FQ8/pub,3,5
UM Physics 235 Midterm 2 Winter 13 Problem 20,2,https://docs.google.com/document/d/1kVcsyE4gEgzRWkmYQqrvZIJ82N4mxxWpJ9Z-7CCSps0/pub,1,5
UM Phyiscs 235 Midterm 3 Winter 11 Problem 05,3,https://docs.google.com/document/d/1jnQqBrAhuUSmCW8Glzvcz8Tw3aYmqTNUUORKh7dd2ug/pub,3,5
UM Physics 235 Midterm 3 Fall 12 Problem 01,3,https://docs.google.com/document/d/13BjkSIbu-z5ZYqVzeX1Lutfh1y9Zlib6VR92gj7ohlE/pub,4,5
UM Physics 235 Midterm 3 Fall 12 Problem 02,3,https://docs.google.com/document/d/1na11FagZdjqNnbjXLpL9027xJS1y_7xImMBxLAqzKwU/pub,4,5
UM Physics 235 Midterm 3 Fall 12 Problem 03,3,https://docs.google.com/document/d/1LWv2qmNfwA_T-ELdjCDd4StDUxwe6L90l7Y8rGjvuL8/pub,3,5
UM Physics 235 Midterm 3 Fall 12 Problem 04,3,https://docs.google.com/document/d/1ylqcUpSg00YFfdCRGRt4eMaOxVkcnylPjep1UobJ1H4/pub,5,5
UM Physics 235 Midterm 3 Fall 12 Problem 05,3,https://docs.google.com/document/d/1rfl0sUBPvwuCNnaelalDXcS8UNPGMvKiduk0F7ZffJ4/pub,4,5
UM Physics 235 Midterm 3 Fall 12 Problem 06,3,https://docs.google.com/document/d/1llRAHo8z8MRYn_EoNlb5C7Dk4lKcpe-Iivdvf9dB4bM/pub,1,5
UM Physics 235 Midterm 3 Fall 12 Problem 07,3,https://docs.google.com/document/d/1cW4p-t0iLz-MRF98Y5PJxE7vJ6Qxy9F6xyCRYZGMP1w/pub,4,5
UM Physics 235 Midterm 3 Fall 12 Problem 08,3,https://docs.google.com/document/d/1Y8ZgUZW1tUHP8fBUTZlsDGqrhv-vTh1qhuludNVvCC0/pub,3,5
UM Physics 235 Midterm 3 Fall 12 Problem 09,3,https://docs.google.com/document/d/1oK03wApEZfywPMTTx6WQJiDM4W9tDA3-28bDcgQRgRA/pub,2,5
UM Physics 235 Midterm 3 Fall 12 Problem 10,3,https://docs.google.com/document/d/1pENl8LNYiZ91RPr7PCzIOV1npNNH9L_Z8QanwgLaxwE/pub,3,5
UM Physics 235 Midterm 3 Fall 12 Problem 11,3,https://docs.google.com/document/d/14-JwGYB9XXj6DtBJ7GH5v4pM_CWDlHsVVuYr2DgKWS0/pub,1,5
UM Physics 235 Midterm 3 Fall 12 Problem 12,3,https://docs.google.com/document/d/1g5EJd8vj8E4p7tAyW6j_XXvMjxWtyic_9mgkd2GDHzw/pub,2,5
UM Physics 235 Midterm 3 Fall 12 Problem 13,3,https://docs.google.com/document/d/1AsJfZfPYLrYeVh0UmM4mVqPJCzMGPHfdYpZwPvdqDj4/pub,1,5
UM Physics 235 Midterm 3 Fall 12 Problem 14,3,https://docs.google.com/document/d/1QXX9kC4Ge5_HLxKbPmzswkKOT6dsFv2GPIK5P0DcNrk/pub,5,5
UM Physics 235 Midterm 3 Fall 12 Problem 15,3,https://docs.google.com/document/d/1KAtzgdIeUaLUNXs0dID9ItxkqEdR5kfpALML1UCMZc0/pub,5,5
UM Physics 235 Midterm 3 Fall 12 Problem 16,3,https://docs.google.com/document/d/13zlWghHyebHni8u5Avj51ACTUt50Jq5xBf37nZGIK8E/pub,2,5
UM Physics 235 Midterm 3 Fall 12 Problem 17,3,https://docs.google.com/document/d/1aeila1eQgdycVpE6lrMvA1uZem1WkvTWzg_Wh5HJyrA/pub,4,5
UM Physics 235 Midterm 3 Fall 12 Problem 18,3,https://docs.google.com/document/d/1gfBnfcAkRSCkIDYjaZPPM0wCI9Qhgj22luGbYo3T4zA/pub,1,5
UM Physics 235 Midterm 3 Fall 12 Problem 19,3,https://docs.google.com/document/d/1-23kSUh4gHJRBUfL86Mf9DQ975yHYm3209k5ajZQ0-A/pub,5,5
UM Physics 235 Midterm 3 Fall 12 Problem 20,3,https://docs.google.com/document/d/1qGJqPBuXpNTFe8awK4F0EXZ50ASEzFQCtSoW9AqrZnU/pub,4,5
UM Physics 235 Midterm 3 Winter 12 Problem 01,3,https://docs.google.com/document/d/1nd3GTQGGd5FRtBU2RaJBlNf_1z8c2qx5jvsx2SCQZ-Q/pub,3,5
